[2024-06-05T08:25:41.958+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-05T08:25:41.339923+00:00 [queued]>
[2024-06-05T08:25:41.963+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-05T08:25:41.339923+00:00 [queued]>
[2024-06-05T08:25:41.963+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-05T08:25:42.069+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_emplacement_stations> on 2024-06-05 08:25:41.339923+00:00
[2024-06-05T08:25:42.071+0000] {standard_task_runner.py:57} INFO - Started process 562 to run task
[2024-06-05T08:25:42.073+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_emplacement_stations', 'manual__2024-06-05T08:25:41.339923+00:00', '--job-id', '157', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpg1jjkie1']
[2024-06-05T08:25:42.075+0000] {standard_task_runner.py:85} INFO - Job 157: Subtask fetch_and_insert_into_elasticsearch_emplacement_stations
[2024-06-05T08:25:42.096+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-05T08:25:41.339923+00:00 [running]> on host 9e4bf1cd7746
[2024-06-05T08:25:42.128+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='fetch_and_insert_into_elasticsearch_emplacement_stations' AIRFLOW_CTX_EXECUTION_DATE='2024-06-05T08:25:41.339923+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-05T08:25:41.339923+00:00'
[2024-06-05T08:25:42.129+0000] {logging_mixin.py:151} INFO - Fetching data from JSON
[2024-06-05T08:25:42.685+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/988_Cit%C3%A9%20Universitaire [status:201 duration:0.432s]
[2024-06-05T08:25:42.812+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/760_Saint-Denis [status:201 duration:0.119s]
[2024-06-05T08:25:42.932+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/578_Nanterre-Universit%C3%A9 [status:201 duration:0.118s]
[2024-06-05T08:25:43.051+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/100_Boulogne%20-%20Pont%20de%20Saint-Cloud [status:201 duration:0.118s]
[2024-06-05T08:25:43.171+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/79_Bobigny%20Pablo%20Picasso [status:201 duration:0.118s]
[2024-06-05T08:25:43.300+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/10_Al%C3%A9sia [status:201 duration:0.119s]
[2024-06-05T08:25:43.427+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/27_Arts%20et%20M%C3%A9tiers [status:201 duration:0.118s]
[2024-06-05T08:25:43.555+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/226_Cr%C3%A9teil-Universit%C3%A9 [status:201 duration:0.118s]
[2024-06-05T08:25:43.681+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/244_Dugommier [status:201 duration:0.119s]
[2024-06-05T08:25:43.801+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/113_Brochant [status:201 duration:0.116s]
[2024-06-05T08:25:43.929+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/120_Buttes-Chaumont [status:201 duration:0.121s]
[2024-06-05T08:25:44.055+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/123_Cambronne [status:201 duration:0.116s]
