[2024-06-05T11:59:16.550+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-05T09:05:24.702727+00:00 [queued]>
[2024-06-05T11:59:16.554+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-05T09:05:24.702727+00:00 [queued]>
[2024-06-05T11:59:16.555+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 2
[2024-06-05T11:59:16.665+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_arrets_lignes> on 2024-06-05 09:05:24.702727+00:00
[2024-06-05T11:59:16.667+0000] {standard_task_runner.py:57} INFO - Started process 48 to run task
[2024-06-05T11:59:16.670+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_arrets_lignes', 'manual__2024-06-05T09:05:24.702727+00:00', '--job-id', '168', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpsshbkrph']
[2024-06-05T11:59:16.672+0000] {standard_task_runner.py:85} INFO - Job 168: Subtask fetch_and_insert_into_elasticsearch_arrets_lignes
[2024-06-05T11:59:16.695+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-05T09:05:24.702727+00:00 [running]> on host 9e4bf1cd7746
[2024-06-05T11:59:16.735+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='fetch_and_insert_into_elasticsearch_arrets_lignes' AIRFLOW_CTX_EXECUTION_DATE='2024-06-05T09:05:24.702727+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-05T09:05:24.702727+00:00'
[2024-06-05T11:59:16.736+0000] {logging_mixin.py:151} INFO - Hello from fetch data DAG
[2024-06-05T11:59:18.021+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A19593 [status:200 duration:0.370s]
[2024-06-05T11:59:18.139+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A19335 [status:200 duration:0.115s]
[2024-06-05T11:59:18.255+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A486780 [status:200 duration:0.115s]
[2024-06-05T11:59:18.370+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A427695 [status:200 duration:0.113s]
[2024-06-05T11:59:18.487+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A488053 [status:200 duration:0.114s]
[2024-06-05T11:59:18.604+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A462404 [status:200 duration:0.115s]
[2024-06-05T11:59:18.723+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A38110 [status:200 duration:0.115s]
