[2024-06-06T12:45:14.012+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T12:38:56.114387+00:00 [queued]>
[2024-06-06T12:45:14.016+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T12:38:56.114387+00:00 [queued]>
[2024-06-06T12:45:14.017+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 2
[2024-06-06T12:45:14.111+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): elastic_metro_station> on 2024-06-06 12:38:56.114387+00:00
[2024-06-06T12:45:14.113+0000] {standard_task_runner.py:57} INFO - Started process 646 to run task
[2024-06-06T12:45:14.115+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'elastic_metro_station', 'manual__2024-06-06T12:38:56.114387+00:00', '--job-id', '183', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpu_fletmm']
[2024-06-06T12:45:14.117+0000] {standard_task_runner.py:85} INFO - Job 183: Subtask elastic_metro_station
[2024-06-06T12:45:14.139+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T12:38:56.114387+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T12:45:14.172+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='elastic_metro_station' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T12:38:56.114387+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T12:38:56.114387+00:00'
[2024-06-06T12:45:14.173+0000] {logging_mixin.py:151} INFO - Hello
[2024-06-06T12:46:36.363+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/concorde [status:200 duration:1.079s]
[2024-06-06T12:46:36.641+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/les-sablons [status:200 duration:0.268s]
[2024-06-06T12:46:36.862+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/rambuteau [status:200 duration:0.219s]
[2024-06-06T12:46:37.100+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/hotel-de-ville [status:200 duration:0.231s]
[2024-06-06T12:46:37.425+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/anvers [status:200 duration:0.319s]
[2024-06-06T12:46:37.783+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/chatelet-les-halles [status:200 duration:0.349s]
[2024-06-06T12:46:38.020+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/nation [status:200 duration:0.231s]
[2024-06-06T12:46:38.181+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/argentine [status:200 duration:0.154s]
[2024-06-06T12:46:38.416+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/bibliotheque-francois-mitterrand [status:200 duration:0.230s]
[2024-06-06T12:46:38.633+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/gare-du-nord [status:200 duration:0.213s]
[2024-06-06T12:46:38.853+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/champs-elysees-clemenceau [status:200 duration:0.217s]
[2024-06-06T12:46:39.081+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/bastille [status:200 duration:0.221s]
[2024-06-06T12:46:39.356+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/gare-d-austerlitz [status:200 duration:0.269s]
[2024-06-06T12:46:39.551+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/saint-mande [status:200 duration:0.193s]
