[2024-06-06T13:12:08.722+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T13:06:22.782704+00:00 [queued]>
[2024-06-06T13:12:08.828+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T13:06:22.782704+00:00 [queued]>
[2024-06-06T13:12:08.828+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 2
[2024-06-06T13:12:08.833+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): elastic_metro_station> on 2024-06-06 13:06:22.782704+00:00
[2024-06-06T13:12:08.836+0000] {standard_task_runner.py:57} INFO - Started process 1059 to run task
[2024-06-06T13:12:08.838+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'elastic_metro_station', 'manual__2024-06-06T13:06:22.782704+00:00', '--job-id', '186', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmp1jl6_f4f']
[2024-06-06T13:12:08.840+0000] {standard_task_runner.py:85} INFO - Job 186: Subtask elastic_metro_station
[2024-06-06T13:12:08.860+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T13:06:22.782704+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T13:12:08.892+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='elastic_metro_station' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T13:06:22.782704+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T13:06:22.782704+00:00'
[2024-06-06T13:12:08.893+0000] {logging_mixin.py:151} INFO - Hello
[2024-06-06T13:13:34.513+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/concorde [status:200 duration:0.609s]
[2024-06-06T13:13:34.685+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/les-sablons [status:200 duration:0.169s]
[2024-06-06T13:13:34.865+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/rambuteau [status:200 duration:0.171s]
[2024-06-06T13:13:35.033+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/hotel-de-ville [status:200 duration:0.163s]
[2024-06-06T13:13:35.224+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/anvers [status:200 duration:0.180s]
[2024-06-06T13:13:35.398+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/chatelet-les-halles [status:200 duration:0.168s]
[2024-06-06T13:13:35.681+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/nation [status:200 duration:0.274s]
