[2024-06-06T13:10:16.250+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T13:10:15.281606+00:00 [queued]>
[2024-06-06T13:10:16.255+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T13:10:15.281606+00:00 [queued]>
[2024-06-06T13:10:16.255+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T13:10:16.390+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): elastic_metro_station> on 2024-06-06 13:10:15.281606+00:00
[2024-06-06T13:10:16.393+0000] {standard_task_runner.py:57} INFO - Started process 1027 to run task
[2024-06-06T13:10:16.396+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'elastic_metro_station', 'manual__2024-06-06T13:10:15.281606+00:00', '--job-id', '185', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpinjhlkpd']
[2024-06-06T13:10:16.398+0000] {standard_task_runner.py:85} INFO - Job 185: Subtask elastic_metro_station
[2024-06-06T13:10:16.427+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T13:10:15.281606+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T13:10:16.462+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='elastic_metro_station' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T13:10:15.281606+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T13:10:15.281606+00:00'
[2024-06-06T13:10:16.462+0000] {logging_mixin.py:151} INFO - Hello
[2024-06-06T13:11:41.696+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/concorde [status:201 duration:1.022s]
[2024-06-06T13:11:42.208+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/les-sablons [status:201 duration:0.504s]
[2024-06-06T13:11:42.490+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/rambuteau [status:201 duration:0.271s]
[2024-06-06T13:11:42.718+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/hotel-de-ville [status:201 duration:0.222s]
[2024-06-06T13:11:42.962+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/anvers [status:201 duration:0.236s]
[2024-06-06T13:11:43.227+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/chatelet-les-halles [status:201 duration:0.258s]
[2024-06-06T13:11:43.471+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/nation [status:201 duration:0.240s]
