[2024-06-06T14:48:05.980+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:03:15.782700+00:00 [queued]>
[2024-06-06T14:48:05.988+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:03:15.782700+00:00 [queued]>
[2024-06-06T14:48:05.988+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T14:48:06.149+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): elastic_metro_station> on 2024-06-06 14:03:15.782700+00:00
[2024-06-06T14:48:06.152+0000] {standard_task_runner.py:57} INFO - Started process 2442 to run task
[2024-06-06T14:48:06.154+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'elastic_metro_station', 'manual__2024-06-06T14:03:15.782700+00:00', '--job-id', '197', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpcrua00y7']
[2024-06-06T14:48:06.157+0000] {standard_task_runner.py:85} INFO - Job 197: Subtask elastic_metro_station
[2024-06-06T14:48:06.181+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:03:15.782700+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:48:06.215+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='elastic_metro_station' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:03:15.782700+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:03:15.782700+00:00'
[2024-06-06T14:48:06.216+0000] {logging_mixin.py:151} INFO - Hello
[2024-06-06T14:49:20.400+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/concorde [status:200 duration:0.435s]
[2024-06-06T14:49:20.554+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/les-sablons [status:200 duration:0.150s]
[2024-06-06T14:49:20.699+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/rambuteau [status:200 duration:0.142s]
[2024-06-06T14:49:20.843+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/hotel-de-ville [status:200 duration:0.140s]
[2024-06-06T14:49:21.003+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/anvers [status:200 duration:0.158s]
[2024-06-06T14:49:21.153+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/chatelet-les-halles [status:200 duration:0.147s]
[2024-06-06T14:49:21.329+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/nation [status:200 duration:0.170s]
