[2024-06-06T14:03:16.746+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:03:15.782700+00:00 [queued]>
[2024-06-06T14:03:16.750+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:03:15.782700+00:00 [queued]>
[2024-06-06T14:03:16.751+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T14:03:16.915+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_emplacement_stations> on 2024-06-06 14:03:15.782700+00:00
[2024-06-06T14:03:16.919+0000] {standard_task_runner.py:57} INFO - Started process 1833 to run task
[2024-06-06T14:03:16.921+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_emplacement_stations', 'manual__2024-06-06T14:03:15.782700+00:00', '--job-id', '187', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmp2tgn7a3s']
[2024-06-06T14:03:16.923+0000] {standard_task_runner.py:85} INFO - Job 187: Subtask fetch_and_insert_into_elasticsearch_emplacement_stations
[2024-06-06T14:03:16.945+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:03:15.782700+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:03:16.978+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='fetch_and_insert_into_elasticsearch_emplacement_stations' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:03:15.782700+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:03:15.782700+00:00'
[2024-06-06T14:03:16.979+0000] {logging_mixin.py:151} INFO - Fetching data from JSON
[2024-06-06T14:03:17.921+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/988_Cit%C3%A9%20Universitaire [status:200 duration:0.804s]
[2024-06-06T14:03:18.193+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/760_Saint-Denis [status:200 duration:0.267s]
[2024-06-06T14:03:18.426+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/578_Nanterre-Universit%C3%A9 [status:200 duration:0.231s]
[2024-06-06T14:03:18.604+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/100_Boulogne%20-%20Pont%20de%20Saint-Cloud [status:200 duration:0.174s]
[2024-06-06T14:03:18.836+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/79_Bobigny%20Pablo%20Picasso [status:200 duration:0.227s]
[2024-06-06T14:03:19.072+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/10_Al%C3%A9sia [status:200 duration:0.231s]
[2024-06-06T14:03:19.304+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/27_Arts%20et%20M%C3%A9tiers [status:200 duration:0.226s]
[2024-06-06T14:03:19.560+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/226_Cr%C3%A9teil-Universit%C3%A9 [status:200 duration:0.252s]
[2024-06-06T14:03:19.787+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/244_Dugommier [status:200 duration:0.220s]
[2024-06-06T14:03:20.076+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/113_Brochant [status:200 duration:0.279s]
[2024-06-06T14:03:20.315+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/120_Buttes-Chaumont [status:200 duration:0.232s]
[2024-06-06T14:03:20.543+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/123_Cambronne [status:200 duration:0.219s]
[2024-06-06T14:03:20.790+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/126_Carrefour%20Pleyel [status:200 duration:0.237s]
[2024-06-06T14:03:21.020+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/145_Champs-%C3%89lys%C3%A9es%20%E2%80%93%20Clemenceau [status:200 duration:0.229s]
[2024-06-06T14:03:21.255+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/197_Commerce [status:200 duration:0.231s]
[2024-06-06T14:03:21.409+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/201_Concorde [status:200 duration:0.149s]
[2024-06-06T14:03:21.651+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/332_Goncourt [status:200 duration:0.236s]
[2024-06-06T14:03:21.904+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/297_Gabriel%20P%C3%A9ri [status:200 duration:0.245s]
[2024-06-06T14:03:22.149+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/279_Faidherbe%20Chaligny [status:200 duration:0.238s]
[2024-06-06T14:03:22.377+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/280_Falgui%C3%A8re [status:200 duration:0.225s]
[2024-06-06T14:03:22.619+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/543_Michel%20Ange-Auteuil [status:200 duration:0.237s]
[2024-06-06T14:03:22.875+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/416_La%20Fourche [status:200 duration:0.250s]
[2024-06-06T14:03:23.116+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/443_Le%20Peletier [status:200 duration:0.234s]
[2024-06-06T14:03:23.358+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/459_Les%20Gobelins [status:200 duration:0.234s]
