[2024-06-06T14:09:26.369+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:03:15.782700+00:00 [queued]>
[2024-06-06T14:09:26.516+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:03:15.782700+00:00 [queued]>
[2024-06-06T14:09:26.516+0000] {taskinstance.py:1359} INFO - Starting attempt 2 of 2
[2024-06-06T14:09:26.521+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_emplacement_stations> on 2024-06-06 14:03:15.782700+00:00
[2024-06-06T14:09:26.524+0000] {standard_task_runner.py:57} INFO - Started process 1922 to run task
[2024-06-06T14:09:26.527+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_emplacement_stations', 'manual__2024-06-06T14:03:15.782700+00:00', '--job-id', '189', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpk8aynpor']
[2024-06-06T14:09:26.529+0000] {standard_task_runner.py:85} INFO - Job 189: Subtask fetch_and_insert_into_elasticsearch_emplacement_stations
[2024-06-06T14:09:26.550+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:03:15.782700+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:09:26.583+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='fetch_and_insert_into_elasticsearch_emplacement_stations' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:03:15.782700+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:03:15.782700+00:00'
[2024-06-06T14:09:26.584+0000] {logging_mixin.py:151} INFO - Fetching data from JSON
[2024-06-06T14:09:27.594+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/988_Cit%C3%A9%20Universitaire [status:200 duration:0.879s]
[2024-06-06T14:09:27.777+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/760_Saint-Denis [status:200 duration:0.179s]
[2024-06-06T14:09:28.103+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/578_Nanterre-Universit%C3%A9 [status:200 duration:0.324s]
[2024-06-06T14:09:28.311+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/100_Boulogne%20-%20Pont%20de%20Saint-Cloud [status:200 duration:0.206s]
[2024-06-06T14:09:28.640+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/79_Bobigny%20Pablo%20Picasso [status:200 duration:0.327s]
[2024-06-06T14:09:29.184+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/10_Al%C3%A9sia [status:200 duration:0.542s]
[2024-06-06T14:09:30.809+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/27_Arts%20et%20M%C3%A9tiers [status:200 duration:1.613s]
[2024-06-06T14:09:31.733+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/226_Cr%C3%A9teil-Universit%C3%A9 [status:200 duration:0.921s]
[2024-06-06T14:09:31.925+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/244_Dugommier [status:200 duration:0.181s]
[2024-06-06T14:09:32.188+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/113_Brochant [status:200 duration:0.257s]
[2024-06-06T14:09:32.503+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/120_Buttes-Chaumont [status:200 duration:0.311s]
[2024-06-06T14:09:32.818+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/123_Cambronne [status:200 duration:0.305s]
[2024-06-06T14:09:33.032+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/126_Carrefour%20Pleyel [status:200 duration:0.204s]
