[2024-06-06T14:32:37.162+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T14:22:06.853850+00:00 [queued]>
[2024-06-06T14:32:37.169+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T14:22:06.853850+00:00 [queued]>
[2024-06-06T14:32:37.169+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T14:32:37.444+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_arrets_lignes> on 2024-06-06 14:22:06.853850+00:00
[2024-06-06T14:32:37.449+0000] {standard_task_runner.py:57} INFO - Started process 2202 to run task
[2024-06-06T14:32:37.453+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_arrets_lignes', 'manual__2024-06-06T14:22:06.853850+00:00', '--job-id', '195', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpde5hi68m']
[2024-06-06T14:32:37.456+0000] {standard_task_runner.py:85} INFO - Job 195: Subtask fetch_and_insert_into_elasticsearch_arrets_lignes
[2024-06-06T14:32:37.498+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T14:22:06.853850+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:32:37.536+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='fetch_and_insert_into_elasticsearch_arrets_lignes' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:22:06.853850+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:22:06.853850+00:00'
[2024-06-06T14:32:37.537+0000] {logging_mixin.py:151} INFO - Hello from fetch data DAG
[2024-06-06T14:32:39.025+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A19593 [status:200 duration:0.642s]
[2024-06-06T14:32:39.181+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A19335 [status:200 duration:0.153s]
[2024-06-06T14:32:39.347+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A486780 [status:200 duration:0.158s]
[2024-06-06T14:32:39.517+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A427695 [status:200 duration:0.168s]
[2024-06-06T14:32:39.690+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A488053 [status:200 duration:0.166s]
[2024-06-06T14:32:39.884+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A462404 [status:200 duration:0.187s]
[2024-06-06T14:32:40.050+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A38110 [status:200 duration:0.160s]
[2024-06-06T14:32:40.229+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A19036 [status:200 duration:0.170s]
[2024-06-06T14:32:40.395+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A38171 [status:200 duration:0.155s]
[2024-06-06T14:32:40.612+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A38172 [status:200 duration:0.215s]
[2024-06-06T14:32:40.790+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A488061 [status:200 duration:0.168s]
[2024-06-06T14:32:40.951+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A483662 [status:200 duration:0.157s]
[2024-06-06T14:32:41.124+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A427643 [status:200 duration:0.163s]
[2024-06-06T14:32:41.292+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A19319 [status:200 duration:0.158s]
[2024-06-06T14:32:41.471+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A477153 [status:200 duration:0.168s]
[2024-06-06T14:32:41.657+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A19125 [status:200 duration:0.175s]
