[2024-06-06T14:22:07.605+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:22:06.853850+00:00 [queued]>
[2024-06-06T14:22:07.611+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:22:06.853850+00:00 [queued]>
[2024-06-06T14:22:07.612+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T14:22:07.769+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_emplacement_stations> on 2024-06-06 14:22:06.853850+00:00
[2024-06-06T14:22:07.773+0000] {standard_task_runner.py:57} INFO - Started process 2101 to run task
[2024-06-06T14:22:07.776+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_emplacement_stations', 'manual__2024-06-06T14:22:06.853850+00:00', '--job-id', '192', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmp6g0o3p1s']
[2024-06-06T14:22:07.780+0000] {standard_task_runner.py:85} INFO - Job 192: Subtask fetch_and_insert_into_elasticsearch_emplacement_stations
[2024-06-06T14:22:07.806+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_emplacement_stations manual__2024-06-06T14:22:06.853850+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:22:07.843+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='fetch_and_insert_into_elasticsearch_emplacement_stations' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:22:06.853850+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:22:06.853850+00:00'
[2024-06-06T14:22:07.844+0000] {logging_mixin.py:151} INFO - Fetching data from JSON
[2024-06-06T14:22:08.729+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/988_Cit%C3%A9%20Universitaire [status:200 duration:0.731s]
[2024-06-06T14:22:08.929+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/760_Saint-Denis [status:200 duration:0.193s]
[2024-06-06T14:22:09.127+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/578_Nanterre-Universit%C3%A9 [status:200 duration:0.191s]
[2024-06-06T14:22:09.304+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/100_Boulogne%20-%20Pont%20de%20Saint-Cloud [status:200 duration:0.174s]
[2024-06-06T14:22:09.506+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/79_Bobigny%20Pablo%20Picasso [status:200 duration:0.192s]
[2024-06-06T14:22:09.717+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/10_Al%C3%A9sia [status:200 duration:0.199s]
[2024-06-06T14:22:09.908+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/27_Arts%20et%20M%C3%A9tiers [status:200 duration:0.177s]
[2024-06-06T14:22:10.112+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/226_Cr%C3%A9teil-Universit%C3%A9 [status:200 duration:0.194s]
[2024-06-06T14:22:10.296+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/244_Dugommier [status:200 duration:0.180s]
[2024-06-06T14:22:10.483+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/113_Brochant [status:200 duration:0.179s]
[2024-06-06T14:22:10.687+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/120_Buttes-Chaumont [status:200 duration:0.195s]
[2024-06-06T14:22:10.887+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/123_Cambronne [status:200 duration:0.192s]
[2024-06-06T14:22:11.090+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/126_Carrefour%20Pleyel [status:200 duration:0.192s]
[2024-06-06T14:22:11.255+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/145_Champs-%C3%89lys%C3%A9es%20%E2%80%93%20Clemenceau [status:200 duration:0.155s]
[2024-06-06T14:22:11.422+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/197_Commerce [status:200 duration:0.164s]
[2024-06-06T14:22:11.853+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/201_Concorde [status:200 duration:0.425s]
[2024-06-06T14:22:12.101+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/emplacement-stations-idf/_doc/332_Goncourt [status:200 duration:0.239s]
