[2024-06-06T14:48:09.530+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:48:08.297293+00:00 [queued]>
[2024-06-06T14:48:09.535+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:48:08.297293+00:00 [queued]>
[2024-06-06T14:48:09.535+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T14:48:09.650+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): elastic_metro_station> on 2024-06-06 14:48:08.297293+00:00
[2024-06-06T14:48:09.655+0000] {standard_task_runner.py:57} INFO - Started process 2445 to run task
[2024-06-06T14:48:09.660+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'elastic_metro_station', 'manual__2024-06-06T14:48:08.297293+00:00', '--job-id', '198', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpbh85026i']
[2024-06-06T14:48:09.664+0000] {standard_task_runner.py:85} INFO - Job 198: Subtask elastic_metro_station
[2024-06-06T14:48:09.703+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:48:08.297293+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:48:09.742+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='elastic_metro_station' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:48:08.297293+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:48:08.297293+00:00'
[2024-06-06T14:48:09.744+0000] {logging_mixin.py:151} INFO - Hello
[2024-06-06T14:49:24.636+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/concorde [status:200 duration:0.460s]
[2024-06-06T14:49:24.811+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/les-sablons [status:200 duration:0.167s]
[2024-06-06T14:49:24.962+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/rambuteau [status:200 duration:0.147s]
[2024-06-06T14:49:25.128+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/hotel-de-ville [status:200 duration:0.164s]
[2024-06-06T14:49:25.284+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/anvers [status:200 duration:0.152s]
[2024-06-06T14:49:25.451+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/chatelet-les-halles [status:200 duration:0.159s]
[2024-06-06T14:49:25.616+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/nation [status:200 duration:0.158s]
[2024-06-06T14:49:25.777+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/argentine [status:200 duration:0.152s]
[2024-06-06T14:49:25.934+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/bibliotheque-francois-mitterrand [status:200 duration:0.151s]
[2024-06-06T14:49:26.093+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/gare-du-nord [status:200 duration:0.156s]
[2024-06-06T14:49:26.374+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/champs-elysees-clemenceau [status:200 duration:0.275s]
[2024-06-06T14:49:26.767+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/bastille [status:200 duration:0.380s]
[2024-06-06T14:49:27.040+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/gare-d-austerlitz [status:200 duration:0.257s]
[2024-06-06T14:49:27.239+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/saint-mande [status:200 duration:0.196s]
[2024-06-06T14:49:27.398+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/la-defense [status:200 duration:0.150s]
[2024-06-06T14:49:27.562+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/tuileries [status:200 duration:0.162s]
[2024-06-06T14:49:27.732+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/pont-de-neuilly [status:200 duration:0.168s]
[2024-06-06T14:49:27.887+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/gare-de-l-est [status:200 duration:0.152s]
[2024-06-06T14:49:28.051+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/montparnasse-bienvenue [status:200 duration:0.159s]
[2024-06-06T14:49:28.219+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/porte-de-la-villette [status:200 duration:0.162s]
