[2024-06-06T14:48:09.540+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T14:48:08.297293+00:00 [queued]>
[2024-06-06T14:48:09.546+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T14:48:08.297293+00:00 [queued]>
[2024-06-06T14:48:09.546+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T14:48:09.669+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): fetch_and_insert_into_elasticsearch_arrets_lignes> on 2024-06-06 14:48:08.297293+00:00
[2024-06-06T14:48:09.673+0000] {standard_task_runner.py:57} INFO - Started process 2446 to run task
[2024-06-06T14:48:09.680+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'fetch_and_insert_into_elasticsearch_arrets_lignes', 'manual__2024-06-06T14:48:08.297293+00:00', '--job-id', '199', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpz0bj7yj5']
[2024-06-06T14:48:09.689+0000] {standard_task_runner.py:85} INFO - Job 199: Subtask fetch_and_insert_into_elasticsearch_arrets_lignes
[2024-06-06T14:48:09.715+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.fetch_and_insert_into_elasticsearch_arrets_lignes manual__2024-06-06T14:48:08.297293+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:48:09.755+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='fetch_and_insert_into_elasticsearch_arrets_lignes' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:48:08.297293+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:48:08.297293+00:00'
[2024-06-06T14:48:09.756+0000] {logging_mixin.py:151} INFO - Hello from fetch data DAG
[2024-06-06T14:48:11.193+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A19593 [status:201 duration:0.492s]
[2024-06-06T14:48:11.351+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A19335 [status:201 duration:0.155s]
[2024-06-06T14:48:11.501+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A486780 [status:201 duration:0.148s]
[2024-06-06T14:48:11.646+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/618_IDFM%3A427695 [status:201 duration:0.143s]
[2024-06-06T14:48:11.791+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A488053 [status:201 duration:0.140s]
[2024-06-06T14:48:11.956+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A462404 [status:201 duration:0.160s]
[2024-06-06T14:48:12.113+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A38110 [status:201 duration:0.155s]
[2024-06-06T14:48:12.258+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A19036 [status:201 duration:0.142s]
[2024-06-06T14:48:12.412+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A38171 [status:201 duration:0.151s]
[2024-06-06T14:48:12.554+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A38172 [status:201 duration:0.138s]
[2024-06-06T14:48:12.702+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/619_IDFM%3A488061 [status:201 duration:0.147s]
[2024-06-06T14:48:12.855+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A483662 [status:201 duration:0.150s]
[2024-06-06T14:48:12.993+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A427643 [status:201 duration:0.136s]
[2024-06-06T14:48:13.152+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A19319 [status:201 duration:0.157s]
[2024-06-06T14:48:13.290+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A477153 [status:201 duration:0.137s]
[2024-06-06T14:48:13.458+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A19125 [status:201 duration:0.166s]
[2024-06-06T14:48:13.600+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A19609 [status:201 duration:0.141s]
[2024-06-06T14:48:13.751+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/620_IDFM%3A18986 [status:201 duration:0.148s]
[2024-06-06T14:48:13.904+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A486165 [status:201 duration:0.150s]
[2024-06-06T14:48:14.057+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19255 [status:201 duration:0.149s]
[2024-06-06T14:48:14.207+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19066 [status:201 duration:0.148s]
[2024-06-06T14:48:14.361+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A24243 [status:201 duration:0.149s]
[2024-06-06T14:48:14.517+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19323 [status:201 duration:0.154s]
[2024-06-06T14:48:14.674+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A19282 [status:201 duration:0.153s]
[2024-06-06T14:48:14.822+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/stop-lines/_doc/623_IDFM%3A18880 [status:201 duration:0.145s]
