[2024-06-06T14:56:04.906+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:56:03.468097+00:00 [queued]>
[2024-06-06T14:56:04.912+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:56:03.468097+00:00 [queued]>
[2024-06-06T14:56:04.913+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T14:56:05.054+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): elastic_metro_station> on 2024-06-06 14:56:03.468097+00:00
[2024-06-06T14:56:05.057+0000] {standard_task_runner.py:57} INFO - Started process 2574 to run task
[2024-06-06T14:56:05.060+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'elastic_metro_station', 'manual__2024-06-06T14:56:03.468097+00:00', '--job-id', '204', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmps26y1hti']
[2024-06-06T14:56:05.065+0000] {standard_task_runner.py:85} INFO - Job 204: Subtask elastic_metro_station
[2024-06-06T14:56:05.093+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.elastic_metro_station manual__2024-06-06T14:56:03.468097+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T14:56:05.129+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='elastic_metro_station' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T14:56:03.468097+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T14:56:03.468097+00:00'
[2024-06-06T14:56:05.131+0000] {logging_mixin.py:151} INFO - Hello
[2024-06-06T14:58:11.146+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/concorde [status:200 duration:1.080s]
[2024-06-06T14:58:11.666+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/les-sablons [status:200 duration:0.515s]
[2024-06-06T14:58:11.901+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/rambuteau [status:200 duration:0.226s]
[2024-06-06T14:58:12.112+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/hotel-de-ville [status:200 duration:0.204s]
[2024-06-06T14:58:12.611+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/anvers [status:200 duration:0.491s]
[2024-06-06T14:58:12.785+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/chatelet-les-halles [status:200 duration:0.164s]
[2024-06-06T14:58:13.154+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/nation [status:200 duration:0.361s]
[2024-06-06T14:58:13.611+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/argentine [status:200 duration:0.447s]
[2024-06-06T14:58:13.864+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/bibliotheque-francois-mitterrand [status:200 duration:0.249s]
[2024-06-06T14:58:14.150+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/gare-du-nord [status:200 duration:0.274s]
[2024-06-06T14:58:14.541+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/champs-elysees-clemenceau [status:200 duration:0.383s]
[2024-06-06T14:58:14.776+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/bastille [status:200 duration:0.230s]
[2024-06-06T14:58:14.948+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/metro_station/_doc/gare-d-austerlitz [status:200 duration:0.167s]
