[2024-06-06T15:04:01.873+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: my_python_dag.insert_into_elasticsearch_perimetre manual__2024-06-06T15:04:00.845198+00:00 [queued]>
[2024-06-06T15:04:01.878+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: my_python_dag.insert_into_elasticsearch_perimetre manual__2024-06-06T15:04:00.845198+00:00 [queued]>
[2024-06-06T15:04:01.879+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-06-06T15:04:02.053+0000] {taskinstance.py:1380} INFO - Executing <Task(PythonOperator): insert_into_elasticsearch_perimetre> on 2024-06-06 15:04:00.845198+00:00
[2024-06-06T15:04:02.058+0000] {standard_task_runner.py:57} INFO - Started process 2699 to run task
[2024-06-06T15:04:02.063+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'my_python_dag', 'insert_into_elasticsearch_perimetre', 'manual__2024-06-06T15:04:00.845198+00:00', '--job-id', '212', '--raw', '--subdir', 'DAGS_FOLDER/fetch_from_data_sources.py', '--cfg-path', '/tmp/tmpf472ii5s']
[2024-06-06T15:04:02.066+0000] {standard_task_runner.py:85} INFO - Job 212: Subtask insert_into_elasticsearch_perimetre
[2024-06-06T15:04:02.097+0000] {task_command.py:415} INFO - Running <TaskInstance: my_python_dag.insert_into_elasticsearch_perimetre manual__2024-06-06T15:04:00.845198+00:00 [running]> on host 9e4bf1cd7746
[2024-06-06T15:04:02.140+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='my_python_dag' AIRFLOW_CTX_TASK_ID='insert_into_elasticsearch_perimetre' AIRFLOW_CTX_EXECUTION_DATE='2024-06-06T15:04:00.845198+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-06T15:04:00.845198+00:00'
[2024-06-06T15:04:02.141+0000] {logging_mixin.py:151} INFO - Hello from fetch data DAG
[2024-06-06T15:04:03.048+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01335%3A_STIF%3AStopPoint%3AQ%3A22665%3A [status:201 duration:0.563s]
[2024-06-06T15:04:03.227+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC01378%3A_STIF%3AStopPoint%3AQ%3A22213%3A [status:201 duration:0.173s]
[2024-06-06T15:04:03.501+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00518%3A_STIF%3AStopPoint%3AQ%3A14489%3A [status:201 duration:0.264s]
[2024-06-06T15:04:03.658+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00522%3A_STIF%3AStopPoint%3AQ%3A14489%3A [status:201 duration:0.154s]
[2024-06-06T15:04:03.969+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00582%3A_STIF%3AStopPoint%3AQ%3A16961%3A [status:201 duration:0.309s]
[2024-06-06T15:04:04.269+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00738%3A_STIF%3AStopPoint%3AQ%3A18333%3A [status:201 duration:0.299s]
[2024-06-06T15:04:04.425+0000] {_transport.py:336} INFO - PUT https://7f0ef8badf50482b9b0d93ef141e14ec.us-central1.gcp.cloud.es.io:443/perimetre/_doc/STIF%3ALine%3A%3AC00275%3A_STIF%3AStopPoint%3AQ%3A13397%3A [status:201 duration:0.154s]
